MM_system,Nt
Swine: Anaerobic lagoon,0
Swine: Pit storage,0
Swine: Deep bedding,0
Swine: Liquid/Slurry,0
Swine: Solid storage,0
Dairy Cow: Anaerobic lagoon,0
Dairy Cow: Liquid/Slurry,0
Dairy Cow: Pit storage,0
Dairy Cow: Dry lot,0
Dairy Cow: Solid storage,0
Dairy Cow: Daily spread,0
Poultry: Poultry without litter,0
Poultry: Anaerobic lagoon,0
Poultry: Poultry with litter,0
Other Cattle: Dry lot,0
Other Cattle: Solid storage,0
Other Cattle: Deep bedding,0
Other: Deep bedding,0
Other: Solid storage,0
